rel_path,filename,ext,bytes,sha256,mtime_utc,img_width,img_height,img_mode,img_has_alpha
.DS_Store,.DS_Store,,8196,8aa71832bc10ccae75b018772d21a1ce7a8f9e599148dae4cedca0c1176136c9,2026-07-28T13:45:04.606542+00:00,,,,
.thumbnail,.thumbnail,,29901,cb29ac94614c7a3b50b7126e77e9b6259ec5fc0bc6e15c1c8f6aafc46e710ae8,2026-07-28T12:22:22+00:00,,,,
standalone-src.html,standalone-src.html,html,153869,5f823d4cc98755785ff308bf9e3d756d3a40fb5f93a2194c756886ccef3a82a7,2026-07-28T12:22:22+00:00,,,,
support.js,support.js,js,69150,8fe7df74405f3c55f49b7249c74ea1397e65d07dea2b1bd3b4a489bec2e28cbe,2026-07-28T12:22:22+00:00,,,,
가족 플랫폼 화면 재현.dc.html,가족 플랫폼 화면 재현.dc.html,html,153869,5f823d4cc98755785ff308bf9e3d756d3a40fb5f93a2194c756886ccef3a82a7,2026-07-28T12:22:22+00:00,,,,
_analysis/wave6_0-analysis/COMPONENT_CATALOG.md,COMPONENT_CATALOG.md,md,10580,566901cb07744563b37c2a7eb0af1158f521d3786af4bc63fe3fb2f54fe906b8,2026-07-28T14:06:05.245001+00:00,,,,
_analysis/wave6_0-analysis/FINAL_REPORT.md,FINAL_REPORT.md,md,6578,10b7b90cd5088c798233efc81d2c7ae46080d0e1e41bc07302957b2ed6444986,2026-07-28T14:06:05.239388+00:00,,,,
_analysis/wave6_0-analysis/GAP_MATRIX.md,GAP_MATRIX.md,md,5811,ab4682a00765d4800dca001eb4c8a64fe776a0a020255fd623f24843ac1b1fcd,2026-07-28T14:06:05.242668+00:00,,,,
_analysis/wave6_0-analysis/MEASUREMENT_TABLE.md,MEASUREMENT_TABLE.md,md,12127,d1a61dd0a36e6c6ba10194e2be7aa282816e3a9ed86f01ebd4ca2c3befaf4160,2026-07-28T14:06:05.243958+00:00,,,,
_analysis/wave6_0-analysis/PROGRESS.md,PROGRESS.md,md,9854,dc06c5f4c65c24cc2f8c60758344768a8ad961181ed1b31da15e2bc623cd482c,2026-07-28T14:06:05.242381+00:00,,,,
_analysis/wave6_0-analysis/SCREEN_ASSEMBLY_PLAN.md,SCREEN_ASSEMBLY_PLAN.md,md,9000,4998e3d679c892fcea59257e43acba6338aa524788690eb9161d9864cf76c531,2026-07-28T14:06:05.241757+00:00,,,,
_analysis/wave6_0-analysis/SCREEN_FLOW.md,SCREEN_FLOW.md,md,2879,475d707fc0571ed9f2c4ee7ff3afcde9dbbce12ffb38b4b83181f1c5057c4ff9,2026-07-28T14:06:05.239686+00:00,,,,
_analysis/wave6_0-analysis/SCREEN_INVENTORY.md,SCREEN_INVENTORY.md,md,5585,7739b1adfdc3b3dfbf6656ea0267cd208cc826ceaf65d8adb424c0e3d1bc43bf,2026-07-28T14:06:05.242068+00:00,,,,
_analysis/wave6_0-analysis/TOKEN_PROPOSAL.md,TOKEN_PROPOSAL.md,md,8650,c4848f11159c864df6616ba515ea419b91e4fa97baa5857fa5fa49efe53a795c,2026-07-28T14:06:05.243576+00:00,,,,
_analysis/wave6_0-analysis/WAVE_PLAN.md,WAVE_PLAN.md,md,7118,b5cdc38d8e77db6b9c49b6dd26b5014233df23bba9911ce301849fceb43a85b5,2026-07-28T14:06:05.245854+00:00,,,,
_analysis/wave6_0-analysis/approved-assets.sha256,approved-assets.sha256,sha256,2242,613a7531eda96156b763fd564ceaedb82db7e95a267ac82c76deb371f09a5249,2026-07-28T14:06:05.244735+00:00,,,,
_analysis/wave6_0-analysis/sg_crop_asset_contract.png,sg_crop_asset_contract.png,png,156262,515ef1f9d64c4d1847f333d38fdfdb7241a19a1ffcf68f4f8224edfc403f8b1a,2026-07-28T14:06:05.240315+00:00,1600,800,RGB,no
_analysis/wave6_0-analysis/sg_crop_asset_contract2.png,sg_crop_asset_contract2.png,png,189261,a1f55f5e873818fee4e6a1a70622d82840d93f19422ea612f580b641630d6ac1,2026-07-28T14:06:05.244416+00:00,1600,700,RGB,no
_analysis/wave6_0-analysis/sg_crop_component_lang_bottom.png,sg_crop_component_lang_bottom.png,png,91285,53b5bb0b58952ca62fca30a2315ee15c148179c67b7db16d2974c48ee83dfb06,2026-07-28T14:06:05.241399+00:00,1600,650,RGB,no
_analysis/wave6_0-analysis/sg_crop_component_lang_top.png,sg_crop_component_lang_top.png,png,349747,8715da6a0bc27f5cc75fb7ed7b1c079cf6109537a625c585a4cfaa8527e330e7,2026-07-28T14:06:05.245489+00:00,1600,720,RGB,no
_analysis/wave6_0-analysis/sg_crop_components_full.png,sg_crop_components_full.png,png,368313,fc03a318d7a7deefd0932ee6cf9e36fa578824877e852777a6556ca68c600b73,2026-07-28T14:06:05.243326+00:00,1600,1620,RGB,no
_analysis/wave6_0-analysis/sg_crop_summary_validation.png,sg_crop_summary_validation.png,png,179686,1b198ab8f7a8339890ab64491b40ce30e8195871f0022b0d183182ea56b89950,2026-07-28T14:06:05.241020+00:00,1600,1073,RGB,no
_analysis/wave6_1a-source/A1_SOURCE_TO_COMPONENT_SPEC.md,A1_SOURCE_TO_COMPONENT_SPEC.md,md,7802,51133ad77bbb316d9da24a8538c78bda6649705de9c94a9ecf331fd0e1fa440b,2026-07-28T14:06:05.251446+00:00,,,,
_analysis/wave6_1a-source/COMPONENT_EXTRACTION.md,COMPONENT_EXTRACTION.md,md,10792,2ff2bbdf7cb0d073d096cfaee1a4dbef179516103e8a1b308844e2aaf7be2458,2026-07-28T14:06:05.247934+00:00,,,,
_analysis/wave6_1a-source/FINAL_REPORT.md,FINAL_REPORT.md,md,4500,1fac2a41e7e544bc6cc6338c6beba68c3cfeb394e68be2cf6d72a74326c2553b,2026-07-28T14:06:05.248270+00:00,,,,
_analysis/wave6_1a-source/HTML_SCREEN_STRUCTURE.md,HTML_SCREEN_STRUCTURE.md,md,11515,e5f42c19ff1d2eb914d3e9dd01d400aecefdb60566d94fae3f9cb882cad9b87d,2026-07-28T14:06:05.248850+00:00,,,,
_analysis/wave6_1a-source/HTML_TO_REACT_RULES.md,HTML_TO_REACT_RULES.md,md,8326,4accae0366a6d57c9837366e858488e4ef1236ff34a1e6c8276320b494a1a67e,2026-07-28T14:06:05.251050+00:00,,,,
_analysis/wave6_1a-source/INLINE_LITERAL_INVENTORY.md,INLINE_LITERAL_INVENTORY.md,md,14964,631daae92189753d604a8dea72b06b6dd0a9a675b201a006dbed32ef0bba866e,2026-07-28T14:06:05.248569+00:00,,,,
_analysis/wave6_1a-source/PROGRESS.md,PROGRESS.md,md,7624,5de37664cb8571f2d3ff961e98aca547ccce0e3999484c9957755cdbd065051b,2026-07-28T14:06:05.249541+00:00,,,,
_analysis/wave6_1a-source/SOURCE_DRIVEN_IMPLEMENTATION_SEQUENCE.md,SOURCE_DRIVEN_IMPLEMENTATION_SEQUENCE.md,md,5320,3bede3e85a9224cc22d04604c6006bcb5ace3ed652d9be1217fe6c74fbf6d805,2026-07-28T14:06:05.250142+00:00,,,,
_analysis/wave6_1a-source/START_GATE.md,START_GATE.md,md,2229,db2781867fa506cdb58187946dccec4a6d724060b42a51150258c9620523aaa4,2026-07-28T14:06:05.249122+00:00,,,,
_analysis/wave6_1a-source/TIER1_VISUAL_DELTA.md,TIER1_VISUAL_DELTA.md,md,9806,2042dc15405fcc0f9bb368e4ac95d92e6307c714221c60dac13aa5bafd8bf5c3,2026-07-28T14:06:05.249796+00:00,,,,
_analysis/wave6_1a-source/TOKEN_MAPPING.md,TOKEN_MAPPING.md,md,6944,386fe5a74c84877062af9212371f29135a38b4cc8b001d47d086452e207ab173,2026-07-28T14:06:05.250762+00:00,,,,
_analysis/wave6_1a-source/TYPOGRAPHY_MAPPING.md,TYPOGRAPHY_MAPPING.md,md,7369,3e9f1e93e1c2295d6944b79f3ff41f4fe7a4bf86ae55977a0a939c0c0b841754,2026-07-28T14:06:05.250452+00:00,,,,
uploads/19de6297-c168-45f4-be59-878a01bc0641.png,19de6297-c168-45f4-be59-878a01bc0641.png,png,1459134,8c1998b369f23855262894b2bf373236b63736bf3398edf55365b3fc750cf878,2026-07-28T12:22:22+00:00,1536,1024,RGB,no
uploads/brand_pin_logo_transparent.png,brand_pin_logo_transparent.png,png,1135343,6af9c41f74258e50583a87db5b2ca37a5d617cc76fb27b188ebd5a756d0075e7,2026-07-28T12:22:22+00:00,2048,2048,RGBA,yes
uploads/family_platform_pin_logo_transparent_1024.png,family_platform_pin_logo_transparent_1024.png,png,484084,dd5c48b3e670636b7822a5893e213ce8e99fd667b82b4cb53026e344bea4f0b8,2026-07-28T12:22:22+00:00,1024,1024,RGBA,yes
uploads/family_platform_style_guide_preview.png,family_platform_style_guide_preview.png,png,1120169,be0633aac7de1749ba1aad45b2539c5a5d8dd1c6156b745c5356d1f3a07adffd,2026-07-28T12:22:22+00:00,1600,4400,RGB,no
uploads/family_platform_style_guide_v1.png,family_platform_style_guide_v1.png,png,2311530,c52196127ff3050b1e3dbe90241d13d7dfa0dc93c7442bf25fbda4cd4aaa9e42,2026-07-28T12:22:22+00:00,1600,6773,RGB,no
uploads/screen_admin_point_approved.png,screen_admin_point_approved.png,png,1152637,c7172ed789ecdbcba04049dcc70faab8e2c90138959ab09de691318c5065a099,2026-07-28T12:22:22+00:00,1448,1086,RGB,no
uploads/screen_family_chat_approved.png,screen_family_chat_approved.png,png,1237417,b3dbc5543ea03a412e18d4f053c353ba7ce069682e15dc51a5739b21f0ff9300,2026-07-28T12:22:22+00:00,941,1672,RGB,no
uploads/screen_family_home_approved.png,screen_family_home_approved.png,png,1281570,d486d0eb921b1cf5ed4085fe9d23bc5d4597399c5415406af5674c5c4070e9f2,2026-07-28T12:22:22+00:00,941,1672,RGB,no
uploads/screen_login_approved.png,screen_login_approved.png,png,1162884,fb3c9b6bbd9752151d0fca8cd2e1ed4b5f1cba2256b03437fdc6153f4fa73765,2026-07-28T12:22:22+00:00,853,1844,RGB,no
uploads/screen_point_festival_approved.png,screen_point_festival_approved.png,png,1391374,35bdeff64cc9524b243adcd37db08023394ebbcd1e2b847bf7f08b141f75eb93,2026-07-28T12:22:22+00:00,941,1672,RGB,no
